ANO;LOCALIDAD_RESIDENCIA;GRUPOS_EDAD_QUINQUENIOS;SEXO;CASOS;MUERTES
2021;16 - Puente Aranda;15. 65 a 69 años;M;472;56
2021;16 - Puente Aranda;11. 45 A 49 años;M;1204;25
2021;04 - San Cristóbal;13. 55 a 59 años;F;1326;31
2021;12 - Barrios Unidos;17. 75 a 79 años;F;211;21
2021;12 - Barrios Unidos;04. 10 a 14 años;F;351;
2021;15 - Antonio Nariño;01. Menor de 1 año;F;14;
2021;19 - Ciudad Bolívar;07. 25 a 29 años;M;3344;3
2021;19 - Ciudad Bolívar;14. 60 a 64 años;M;1067;94
2021;19 - Ciudad Bolívar;09. 35 a 39 años;M;2879;25
2021;18 - Rafael Uribe Uribe;11. 45 A 49 años;M;1478;29
2021;18 - Rafael Uribe Uribe;02. 1 a 4 años;M;259;
2021;05 - Usme;12. 50 a 54 años;F;1252;16
2021;07 - Bosa;08. 30 a 34 años;F;4417;7
2021;11 - Suba;04. 10 a 14 años;F;2711;
2021;03 - Santa Fe;05. 15 a 19 años;F;450;
2021;08 - Kennedy;10. 40 a 44 años;F;6630;32
2021;01 - Usaquén;14. 60 a 64 años;M;1819;87
2021;01 - Usaquén;07. 25 a 29 años;M;4321;3
2021;02 - Chapinero;09. 35 a 39 años;F;1710;1
2021;10 - Engativá;08. 30 a 34 años;F;6718;8
2021;22 - En Rev_Loc;11. 45 A 49 años;M;905;2
2021;14 - Los Mártires;13. 55 a 59 años;M;373;21
2021;12 - Barrios Unidos;11. 45 A 49 años;F;860;4
2021;19 - Ciudad Bolívar;16. 70 a 74 años;F;430;48
2021;18 - Rafael Uribe Uribe;07. 25 a 29 años;F;3010;1
2022;05 - Usme;03. 5 a 9 años;M;107;
2022;11 - Suba;02. 1 a 4 años;M;913;
2022;11 - Suba;11. 45 A 49 años;M;1895;
2022;11 - Suba;18. 80 a 84 años;F;714;19
2022;11 - Suba;14. 60 a 64 años;M;1716;8
2022;11 - Suba;15. 65 a 69 años;F;1845;6
2022;11 - Suba;13. 55 a 59 años;F;2568;5
2022;11 - Suba;14. 60 a 64 años;F;2537;5
2022;11 - Suba;07. 25 a 29 años;F;3379;1
2022;11 - Suba;17. 75 a 79 años;M;718;18
2022;11 - Suba;08. 30 a 34 años;M;2322;2
2022;11 - Suba;16. 70 a 74 años;M;1022;17
2022;11 - Suba;16. 70 a 74 años;F;1407;11
2022;11 - Suba;05. 15 a 19 años;M;893;1
2022;03 - Santa Fe;17. 75 a 79 años;M;52;3
2022;08 - Kennedy;08. 30 a 34 años;F;2114;2
2022;08 - Kennedy;08. 30 a 34 años;M;1409;1
2022;08 - Kennedy;09. 35 a 39 años;F;2181;
2022;01 - Usaquén;12. 50 a 54 años;F;1826;1
2022;01 - Usaquén;16. 70 a 74 años;F;1319;3
2022;01 - Usaquén;15. 65 a 69 años;F;1749;7
2022;01 - Usaquén;16. 70 a 74 años;M;970;8
2022;01 - Usaquén;10. 40 a 44 años;F;2508;
2022;01 - Usaquén;11. 45 A 49 años;F;2068;4
2022;01 - Usaquén;06. 20 a 24 años;M;1072;
2022;02 - Chapinero;11. 45 A 49 años;F;839;
2022;09 - Fontibón;12. 50 a 54 años;F;835;
2022;10 - Engativá;11. 45 A 49 años;F;1519;2
2022;10 - Engativá;12. 50 a 54 años;F;1406;3
2022;06 - Tunjuelito;14. 60 a 64 años;F;223;1
2022;22 - En Rev_Loc;07. 25 a 29 años;F;1449;
2022;22 - En Rev_Loc;12. 50 a 54 años;M;827;2
2022;22 - En Rev_Loc;19. 85 a 89 años;F;273;3
2022;22 - En Rev_Loc;17. 75 a 79 años;M;396;4
2022;22 - En Rev_Loc;12. 50 a 54 años;F;963;1
2022;22 - En Rev_Loc;08. 30 a 34 años;F;1585;
2022;22 - En Rev_Loc;11. 45 A 49 años;F;1070;
2022;13 - Teusaquillo;15. 65 a 69 años;F;489;
2022;16 - Puente Aranda;12. 50 a 54 años;M;340;1
2022;04 - San Cristóbal;12. 50 a 54 años;F;428;1
2022;04 - San Cristóbal;07. 25 a 29 años;F;771;1
2022;12 - Barrios Unidos;11. 45 A 49 años;F;405;
2022;12 - Barrios Unidos;19. 85 a 89 años;M;78;7
2022;12 - Barrios Unidos;07. 25 a 29 años;M;390;
2022;12 - Barrios Unidos;13. 55 a 59 años;M;225;1
2022;19 - Ciudad Bolívar;06. 20 a 24 años;F;876;2
2022;19 - Ciudad Bolívar;19. 85 a 89 años;F;37;6
2023;08 - Kennedy;07. 25 a 29 años;M;20;
2023;01 - Usaquén;02. 1 a 4 años;M;52;
2023;09 - Fontibón;15. 65 a 69 años;M;15;
2023;11 - Suba;01. Menor de 1 año;F;105;
2020;05 - Usme;14. 60 a 64 años;M;416;34
2020;05 - Usme;02. 1 a 4 años;F;126;
2020;05 - Usme;06. 20 a 24 años;M;868;3
2020;05 - Usme;04. 10 a 14 años;M;297;
2020;07 - Bosa;09. 35 a 39 años;M;1935;11
2020;07 - Bosa;15. 65 a 69 años;M;496;68
2020;07 - Bosa;16. 70 a 74 años;F;327;32
2020;07 - Bosa;18. 80 a 84 años;F;163;34
2020;07 - Bosa;03. 5 a 9 años;M;484;1
2020;07 - Bosa;13. 55 a 59 años;F;1113;20
2020;11 - Suba;08. 30 a 34 años;M;4070;11
2020;11 - Suba;16. 70 a 74 años;M;794;100
2020;11 - Suba;10. 40 a 44 años;F;3657;4
2020;11 - Suba;09. 35 a 39 años;F;4248;3
2020;11 - Suba;11. 45 A 49 años;F;3109;9
2020;11 - Suba;05. 15 a 19 años;F;1675;1
2020;11 - Suba;07. 25 a 29 años;M;4269;2
2020;08 - Kennedy;07. 25 a 29 años;F;4580;4
2020;08 - Kennedy;08. 30 a 34 años;M;3679;7
2020;08 - Kennedy;08. 30 a 34 años;F;4086;6
2020;08 - Kennedy;07. 25 a 29 años;M;3791;3
2020;08 - Kennedy;02. 1 a 4 años;F;494;
2020;01 - Usaquén;08. 30 a 34 años;F;2259;1
2020;01 - Usaquén;09. 35 a 39 años;F;2082;1
2020;01 - Usaquén;04. 10 a 14 años;F;414;
2020;01 - Usaquén;07. 25 a 29 años;M;2119;1
2020;09 - Fontibón;11. 45 A 49 años;F;1128;4
2020;09 - Fontibón;06. 20 a 24 años;F;1314;1
2020;10 - Engativá;13. 55 a 59 años;M;1968;61
2020;10 - Engativá;09. 35 a 39 años;M;2912;5
2020;10 - Engativá;06. 20 a 24 años;F;2863;
2020;10 - Engativá;18. 80 a 84 años;M;343;103
2020;06 - Tunjuelito;08. 30 a 34 años;M;693;3
2020;14 - Los Mártires;06. 20 a 24 años;M;296;
